Microsoft (R) COFF/PE Dumper Version 11.00.60610.1
Copyright (C) Microsoft Corporation.  All rights reserved.


Dump of file user32.dll

File Type: DLL

  Section contains the following exports for USER32.dll

    00000000 characteristics
    580198C6 time date stamp Sat Oct 15 10:47:34 2016
        0.00 version
        1502 ordinal base
        1207 number of functions
         944 number of names

    ordinal hint RVA      name

       1844  14F 0002DB90 GetGuiResources
       1845  150 00025740 GetIconInfo
       1846  151 00057160 GetIconInfoExA
       1847  152 00057270 GetIconInfoExW
       1848  153 00096020 GetInputDesktop
       1849  154 0002DBA0 GetInputLocaleInfo
       1850  155 00024F10 GetInputState
       1851  156 0002DBD0 GetInternalWindowPos
       1852  157 00096030 GetKBCodePage
       1853  158 00093BD0 GetKeyNameTextA
       1854  159 0009BDC0 GetKeyNameTextW
       1855  15A 000182B0 GetKeyState
       1856  15B 0001A380 GetKeyboardLayout
       1857  15C 0002DBE0 GetKeyboardLayoutList
       1858  15D 00093C40 GetKeyboardLayoutNameA
       1859  15E 00027FB0 GetKeyboardLayoutNameW
       1860  15F 0002DBF0 GetKeyboardState
       1861  160 00096490 GetKeyboardType
       1862  161 00027EF0 GetLastActivePopup
       1863  162 00022640 GetLastInputInfo
       1864  163 0002DC00 GetLayeredWindowAttributes
       1865  164 0002DC10 GetListBoxInfo
       1866  165 0007E6D0 GetMagnificationDesktopColorEffect
       1867  166 0007E750 GetMagnificationDesktopMagnification
       1868  167 0002DC20 GetMagnificationLensCtxInformation
       1869  168 00022690 GetMenu
       1870  169 0002DC30 GetMenuBarInfo
       1871  16A 00084F20 GetMenuCheckMarkDimensions
       1872  16B 00085520 GetMenuContextHelpId
       1873  16C 00085550 GetMenuDefaultItem
       1874  16D 00055B80 GetMenuInfo
       1875  16E 000265F0 GetMenuItemCount
       1876  16F 00028B00 GetMenuItemID
       1877  170 0009D640 GetMenuItemInfoA
       1878  171 00022DA0 GetMenuItemInfoW
       1879  172 0002DC40 GetMenuItemRect
       1880  173 00022850 GetMenuState
       1881  174 0009D8C0 GetMenuStringA
       1882  175 000227B0 GetMenuStringW
       1883  176 00022480 GetMessageA
       1884  177 00027E30 GetMessageExtraInfo
       1885  178 000258B0 GetMessagePos
       1886  179 00025C80 GetMessageTime
       1887  17A 0002A760 GetMessageW
       1888  17B 0000C9B0 GetMonitorInfoA
       1889  17C 0000C5A0 GetMonitorInfoW
       1890  17D 0002DC50 GetMouseMovePointsEx
       1891  17E 00065ED0 GetNextDlgGroupItem
       1892  17F 0001BC90 GetNextDlgTabItem
       1893  180 0002D358 GetOpenClipboardWindow
       1894  181 00018360 GetParent
       1895  182 00028110 GetPhysicalCursorPos
       1896  183 0002DC80 GetPointerCursorId
       1897  184 0002DC90 GetPointerDevice
       1898  185 0002DCA0 GetPointerDeviceCursors
       1899  186 0002DCB0 GetPointerDeviceProperties
       1900  187 0002DCC0 GetPointerDeviceRects
       1901  188 0002DCD0 GetPointerDevices
       1902  189 0002DCE0 GetPointerFrameArrivalTimes
       1903  18A 00009380 GetPointerFrameInfo
       1904  18B 000095A0 GetPointerFrameInfoHistory
       1905  18C 00056720 GetPointerFramePenInfo
       1906  18D 00056760 GetPointerFramePenInfoHistory
       1907  18E 00056790 GetPointerFrameTouchInfo
       1908  18F 000567D0 GetPointerFrameTouchInfoHistory
       1909  190 00009340 GetPointerInfo
       1910  191 00056800 GetPointerInfoHistory
       1911  192 0002DCF0 GetPointerInputTransform
       1912  193 00056830 GetPointerPenInfo
       1913  194 00056870 GetPointerPenInfoHistory
       1914  195 000095D0 GetPointerTouchInfo
       1915  196 00009610 GetPointerTouchInfoHistory
       1916  197 0002DD00 GetPointerType
       1917  198 00094CF0 GetPriorityClipboardFormat
       1918  199 00096560 GetProcessDefaultLayout
       1919  19A 0001A6B0 GetProcessDpiAwarenessInternal
       1920  19B 0002DD30 GetProcessWindowStation
       1921  19C 00096580 GetProgmanWindow
       1922  19D 00024160 GetPropA
       1923  19E 0000D9C0 GetPropW
       1924  19F 00018590 GetQueueStatus
       1925  1A0 00075520 GetRawInputBuffer
       1926  1A1 0002DD50 GetRawInputData
       1927  1A2 0009D910 GetRawInputDeviceInfoA
       1928  1A3 00098D00 GetRawInputDeviceInfoW
       1929  1A4 0002DD60 GetRawInputDeviceList
       1930  1A5 0002DD70 GetRawPointerDeviceData
       1931  1A6 0008CAB0 GetReasonTitleFromReasonCode
       1932  1A7 0002DD80 GetRegisteredRawInputDevices
       1933  1A8 0002DD90 GetScrollBarInfo
       1934  1A9 0001F700 GetScrollInfo
       1935  1AA 000260D0 GetScrollPos
       1936  1AB 00027170 GetScrollRange
       1937  1AC 000968D0 GetSendMessageReceiver
       1938  1AD 0002BE60 GetShellWindow
       1939  1AE 00026550 GetSubMenu
       1940  1AF 00019530 GetSysColor
       1941  1B0 0002BBA0 GetSysColorBrush
       1942  1B1 0002DDA0 GetSystemMenu
       1943  1B2 0000A600 GetSystemMetrics
       1944  1B3 00019760 GetSystemMetricsForDpi
       1945  1B4 00063230 GetTabbedTextExtentA
       1946  1B5 000632D0 GetTabbedTextExtentW
       1947  1B6 00096B30 GetTaskmanWindow
       1948  1B7 0002DDB0 GetThreadDesktop
       1949  1B8 00019ED0 GetThreadDpiAwarenessContext
       1950  1B9 0002DDC0 GetTitleBarInfo
       1951  1BA 0002DDD0 GetTopLevelWindow
       1952  1BB 0001B300 GetTopWindow
       1953  1BC 000578C0 GetTouchInputInfo
       1954  1BD 00096BA0 GetUnpredictedMessagePos
       1955  1BE 00024EB0 GetUpdateRect
       1956  1BF 00024600 GetUpdateRgn
       1957  1C0 00094D20 GetUpdatedClipboardFormats
       1958  1C1 00028D20 GetUserObjectInformationA
       1959  1C2 0002DDF0 GetUserObjectInformationW
       1960  1C3 00096BB0 GetUserObjectSecurity
       1961  1C4 00096BF0 GetWinStationInfo
       1962  1C5 00017220 GetWindow
       1963  1C6 0002DE00 GetWindowBand
       1964  1C7 0002DE10 GetWindowCompositionAttribute
       1965  1C8 0002DE20 GetWindowCompositionInfo
       1966  1C9 00096C10 GetWindowContextHelpId
       1967  1CA 0002DE30 GetWindowDC
       1968  1CB 0002DE40 GetWindowDisplayAffinity
       1969  1CC 00096C30 GetWindowDpiAwarenessContext
       1970  1CD 0002DE50 GetWindowFeedbackSetting
       1971  1CE 0000D200 GetWindowInfo
       1972  1CF 00022260 GetWindowLongA
       1973  1D0 000173B0 GetWindowLongW
       1974  1D1 0002DE60 GetWindowMinimizeRect
